topbar-title,bgHidden,gridHidden,seatIndexShown
"潘寓 Pan's Haun",false,true,true

cropX,cropY,cropWidth,cropHeight,cropZoom
411,135,1105,707,1.411

table_id,index,name,left,top,width,height,capacity,occupied,extraSeatLimit,tags,description,updateTime,available,floor
t_01,1,"D",50,25,2,1.5,2,0,0,"","",,true,1F
t_02,2,"E",68,28.125,6,1,5,2,0,"窗邊","",2025-06-06T03:03:43.805000,true,1F
t_03,3,"A",10,40.625,2,3,4,0,0,"冷氣_電扇_大桌","",,true,1F
t_04,4,"C",38,28.125,2,1.5,2,2,0,"插座","",2025-06-06T03:03:40.015000,true,1F
t_05,5,"B",24,28.125,2,1.5,2,0,0,"插座","",2025-06-06T03:00:33.666000,true,1F
t_06,6,"F",38,59.375,8.5,1,6,3,0,"吧檯座位","",2025-06-06T03:03:42.204000,true,1F
t_07,7,"G",64,53.125,2,1.5,4,0,0,"電扇","",,true,1F
t_08,8,"H",62,71.875,1,2,4,0,0,"靠近吧檯","",,true,1F
t_09,9,"J",74,71.875,1,2,2,0,0,"窗邊","",,true,1F
t_10,10,"I",68,71.875,1,2,2,2,0,"","",2025-06-06T03:03:45.087000,true,1F
t_11,11,"K",88,31.25,2,2,4,2,0,"戶外","",2025-06-06T03:03:47.340000,true,1F
t_12,12,"M",96,65.625,2,2,4,4,0,"戶外","",2025-06-06T03:03:50.052000,true,1F
t_13,13,"L",84,68.75,1.5,2,4,0,0,"戶外","",,true,1F
